date,date_orig,Close,Volume
2016-09-12,9/12/2016,198.300003,3715200
2016-09-13,9/13/2016,196.050003,3589400
2016-09-14,9/14/2016,196.410004,2254500
2016-09-15,9/15/2016,200.419998,3077200
2016-09-16,9/16/2016,205.399994,3107800
2016-09-19,9/19/2016,206.339996,2297000
2016-09-20,9/20/2016,204.639999,2410500
2016-09-21,9/21/2016,205.220001,2633500
2016-09-22,9/22/2016,206.429993,2382900
2016-09-23,9/23/2016,207.449997,2905200
2016-09-26,9/26/2016,208.990005,2394400
2016-09-27,9/27/2016,205.809998,3373200
2016-09-28,9/28/2016,206.270004,2088400
2016-09-29,9/29/2016,200.699997,2727000
2016-09-30,9/30/2016,204.029999,2586300
2016-10-03,10/3/2016,213.699997,5999900
2016-10-04,10/4/2016,211.410004,3541500
2016-10-05,10/5/2016,208.460007,1877500
2016-10-06,10/6/2016,201,4703400
2016-10-07,10/7/2016,196.610001,3493000
2016-10-10,10/10/2016,200.949997,3303100
2016-10-11,10/11/2016,200.100006,2328400
2016-10-12,10/12/2016,201.509995,1970700
2016-10-13,10/13/2016,200.240005,2494600
2016-10-14,10/14/2016,196.509995,4269900
2016-10-17,10/17/2016,193.960007,4554100
2016-10-18,10/18/2016,199.100006,5669000
2016-10-19,10/19/2016,203.559998,6991200
2016-10-20,10/20/2016,199.100006,5072900
2016-10-21,10/21/2016,200.089996,2943400
2016-10-24,10/24/2016,202.759995,2751600
2016-10-25,10/25/2016,202.339996,2445000
2016-10-26,10/26/2016,202.240005,5632800
2016-10-27,10/27/2016,204.009995,13093700
2016-10-28,10/28/2016,199.970001,4280100
2016-10-31,10/31/2016,197.729996,4692300
2016-11-01,11/1/2016,190.789993,7060000
2016-11-02,11/2/2016,188.020004,4253400
2016-11-03,11/3/2016,187.419998,2653000
2016-11-04,11/4/2016,190.559998,5146000
2016-11-07,11/7/2016,193.210007,3870100
2016-11-08,11/8/2016,194.940002,3251400
2016-11-09,11/9/2016,190.059998,8173100
2016-11-10,11/10/2016,185.350006,6750300
2016-11-11,11/11/2016,188.559998,3988500
2016-11-14,11/14/2016,181.449997,6542200
2016-11-15,11/15/2016,183.770004,3902000
2016-11-16,11/16/2016,183.929993,3430400
2016-11-17,11/17/2016,188.660004,4887100
2016-11-18,11/18/2016,185.020004,5210300
2016-11-21,11/21/2016,184.520004,4361000
2016-11-22,11/22/2016,191.169998,5603400
2016-11-23,11/23/2016,193.139999,4885300
2016-11-25,11/25/2016,196.649994,2366100
2016-11-28,11/28/2016,196.119995,4529200
2016-11-29,11/29/2016,189.570007,4439300
2016-11-30,11/30/2016,189.399994,3547100
2016-12-01,12/1/2016,181.880005,5126400
2016-12-02,12/2/2016,181.470001,4042300
2016-12-05,12/5/2016,186.800003,4072200
2016-12-06,12/6/2016,185.850006,3391600
2016-12-07,12/7/2016,193.149994,5461900
2016-12-08,12/8/2016,192.289993,3194100
2016-12-09,12/9/2016,192.179993,2722500
2016-12-12,12/12/2016,192.429993,2438900
2016-12-13,12/13/2016,198.149994,6823900
2016-12-14,12/14/2016,198.690002,4150900
2016-12-15,12/15/2016,197.580002,3219600
2016-12-16,12/16/2016,202.490005,3779800
2016-12-19,12/19/2016,202.729996,3488100
2016-12-20,12/20/2016,208.789993,4689100
2016-12-21,12/21/2016,207.699997,5207600
2016-12-22,12/22/2016,208.449997,3111100
2016-12-23,12/23/2016,213.339996,4662900
2016-12-27,12/27/2016,219.529999,5915700
2016-12-28,12/28/2016,219.740005,3782500
2016-12-29,12/29/2016,214.679993,4035900
2016-12-30,12/30/2016,213.690002,4642600
2017-01-03,1/3/2017,216.990005,5923300
2017-01-04,1/4/2017,226.990005,11213500
2017-01-05,1/5/2017,226.75,5911700
2017-01-06,1/6/2017,229.009995,5527900
2017-01-09,1/9/2017,231.279999,3957000
2017-01-10,1/10/2017,229.869995,3660000
2017-01-11,1/11/2017,229.729996,3650800
2017-01-12,1/12/2017,229.589996,3790200
2017-01-13,1/13/2017,237.75,6093000
2017-01-17,1/17/2017,235.580002,4611900
2017-01-18,1/18/2017,238.360001,3769000
2017-01-19,1/19/2017,243.759995,7732300
2017-01-20,1/20/2017,244.729996,4204300
2017-01-23,1/23/2017,248.919998,6262900
2017-01-24,1/24/2017,254.610001,4965500
2017-01-25,1/25/2017,254.470001,5142600
2017-01-26,1/26/2017,252.509995,3152100
2017-01-27,1/27/2017,252.949997,3166300
2017-01-30,1/30/2017,250.630005,3801100
2017-01-31,1/31/2017,251.929993,4116100
2017-02-01,2/1/2017,249.240005,3958800
2017-02-02,2/2/2017,251.550003,2499800
2017-02-03,2/3/2017,251.330002,2186700
2017-02-06,2/6/2017,257.769989,3562500
2017-02-07,2/7/2017,257.480011,4244800
2017-02-08,2/8/2017,262.079987,3933000
2017-02-09,2/9/2017,269.200012,7820200
2017-02-10,2/10/2017,269.230011,3619700
2017-02-13,2/13/2017,280.600006,7029600
2017-02-14,2/14/2017,280.980011,7329400
2017-02-15,2/15/2017,279.76001,4947900
2017-02-16,2/16/2017,268.950012,7077300
2017-02-17,2/17/2017,272.230011,6257100
2017-02-21,2/21/2017,277.390015,5676700
2017-02-22,2/22/2017,273.51001,8755000
2017-02-23,2/23/2017,255.990005,14915200
2017-02-24,2/24/2017,257,8171600
2017-02-27,2/27/2017,246.229996,11460800
2017-02-28,2/28/2017,249.990005,6078100
2017-03-01,3/1/2017,250.020004,4809500
2017-03-02,3/2/2017,250.479996,3351800
2017-03-03,3/3/2017,251.570007,2919400
2017-03-06,3/6/2017,251.210007,3355500
2017-03-07,3/7/2017,248.589996,3459500
2017-03-08,3/8/2017,246.869995,3725200
2017-03-09,3/9/2017,244.899994,3879300
2017-03-10,3/10/2017,243.690002,3066300
2017-03-13,3/13/2017,246.169998,3022600
2017-03-14,3/14/2017,258,7598400
2017-03-15,3/15/2017,255.729996,5330800
2017-03-16,3/16/2017,262.049988,7132200
2017-03-17,3/17/2017,261.5,6497500
2017-03-20,3/20/2017,261.920013,3614300
2017-03-21,3/21/2017,250.679993,6908600
2017-03-22,3/22/2017,255.009995,4059300
2017-03-23,3/23/2017,254.779999,3320200
2017-03-24,3/24/2017,263.160004,5647300
2017-03-27,3/27/2017,270.220001,6230800
2017-03-28,3/28/2017,277.450012,7987600
2017-03-29,3/29/2017,277.380005,3676200
2017-03-30,3/30/2017,277.920013,4148400
2017-03-31,3/31/2017,278.299988,3294600
2017-04-03,4/3/2017,298.519989,13888600
2017-04-04,4/4/2017,303.700012,10134600
2017-04-05,4/5/2017,295,7880900
2017-04-06,4/6/2017,298.700012,5520600
2017-04-07,4/7/2017,302.540009,4579600
2017-04-10,4/10/2017,312.390015,7664500
2017-04-11,4/11/2017,308.709991,5724600
2017-04-12,4/12/2017,296.839996,6050700
2017-04-13,4/13/2017,304,9284600
2017-04-17,4/17/2017,301.440002,4138700
2017-04-18,4/18/2017,300.25,3035700
2017-04-19,4/19/2017,305.519989,3898000
2017-04-20,4/20/2017,302.51001,6149400
2017-04-21,4/21/2017,305.600006,4509800
2017-04-24,4/24/2017,308.029999,5083500
2017-04-25,4/25/2017,313.790009,6737700
2017-04-26,4/26/2017,310.170013,4695000
2017-04-27,4/27/2017,308.630005,3468600
2017-04-28,4/28/2017,314.070007,4463400
2017-05-01,5/1/2017,322.829987,8829600
2017-05-02,5/2/2017,318.890015,5382800
2017-05-03,5/3/2017,311.019989,7133400
2017-05-04,5/4/2017,295.459991,14152000
2017-05-05,5/5/2017,308.350006,8177300
2017-05-08,5/8/2017,307.190002,7006500
2017-05-09,5/9/2017,321.26001,9676500
2017-05-10,5/10/2017,325.220001,5741600
2017-05-11,5/11/2017,323.100006,4753800
2017-05-12,5/12/2017,324.809998,4121600
2017-05-15,5/15/2017,315.880005,7622000
2017-05-16,5/16/2017,317.01001,4152500
2017-05-17,5/17/2017,306.109985,6711900
2017-05-18,5/18/2017,313.059998,5653800
2017-05-19,5/19/2017,310.829987,4687600
2017-05-22,5/22/2017,310.350006,4329200
2017-05-23,5/23/2017,303.859985,4318400
2017-05-24,5/24/2017,310.220001,5033300
2017-05-25,5/25/2017,316.829987,5014000
2017-05-26,5/26/2017,325.140015,7802200
2017-05-30,5/30/2017,335.100006,7782900
2017-05-31,5/31/2017,341.01001,9963400
2017-06-01,6/1/2017,340.369995,7608000
2017-06-02,6/2/2017,339.850006,5590200
2017-06-05,6/5/2017,347.320007,6784400
2017-06-06,6/6/2017,352.850006,11086800
2017-06-07,6/7/2017,359.649994,9398000
2017-06-08,6/8/2017,370,9009800
2017-06-09,6/9/2017,357.320007,17261400
2017-06-12,6/12/2017,359.01001,10517700
2017-06-13,6/13/2017,375.950012,11807900
2017-06-14,6/14/2017,380.660004,12818400
2017-06-15,6/15/2017,375.339996,10426500
2017-06-16,6/16/2017,371.399994,6731000
2017-06-19,6/19/2017,369.799988,6549300
2017-06-20,6/20/2017,372.23999,7438700
2017-06-21,6/21/2017,376.399994,4923200
2017-06-22,6/22/2017,382.609985,7529800
2017-06-23,6/23/2017,383.450012,6445800
2017-06-26,6/26/2017,377.48999,6604100
2017-06-27,6/27/2017,362.369995,6996400
2017-06-28,6/28/2017,371.23999,6302500
2017-06-29,6/29/2017,360.75,8221000
2017-06-30,6/30/2017,361.609985,5848500
2017-07-03,7/3/2017,352.619995,6305400
2017-07-05,7/5/2017,327.089996,17046700
2017-07-06,7/6/2017,308.829987,19324500
2017-07-07,7/7/2017,313.220001,14176900
2017-07-10,7/10/2017,316.049988,13820900
2017-07-11,7/11/2017,327.220001,11559400
2017-07-12,7/12/2017,329.519989,10346100
2017-07-13,7/13/2017,323.410004,8594500
2017-07-14,7/14/2017,327.779999,5625200
2017-07-17,7/17/2017,319.570007,9876900
2017-07-18,7/18/2017,328.23999,6373700
2017-07-19,7/19/2017,325.26001,6357000
2017-07-20,7/20/2017,329.920013,5166200
2017-07-21,7/21/2017,328.399994,4901600
2017-07-24,7/24/2017,342.519989,8637100
2017-07-25,7/25/2017,339.600006,6989200
2017-07-26,7/26/2017,343.850006,4820800
2017-07-27,7/27/2017,334.459991,8302400
2017-07-28,7/28/2017,335.070007,4880400
2017-07-31,7/31/2017,323.470001,8535100
2017-08-01,8/1/2017,319.570007,8303100
2017-08-02,8/2/2017,325.890015,13091500
2017-08-03,8/3/2017,347.089996,13535000
2017-08-04,8/4/2017,356.910004,9268900
2017-08-07,8/7/2017,355.170013,6324500
2017-08-08,8/8/2017,365.220001,7449800
2017-08-09,8/9/2017,363.529999,6892100
2017-08-10,8/10/2017,355.399994,7092900
2017-08-11,8/11/2017,357.869995,4365800
2017-08-14,8/14/2017,363.799988,4502700
2017-08-15,8/15/2017,362.329987,3085100
2017-08-16,8/16/2017,362.910004,3413800
2017-08-17,8/17/2017,351.920013,5027700
2017-08-18,8/18/2017,347.459991,5408200
2017-08-21,8/21/2017,337.859985,6495400
2017-08-22,8/22/2017,341.350006,4322000
2017-08-23,8/23/2017,352.769989,4954500
2017-08-24,8/24/2017,352.929993,4584700
2017-08-25,8/25/2017,348.049988,3484000
2017-08-28,8/28/2017,345.660004,3764000
2017-08-29,8/29/2017,347.359985,4073700
2017-08-30,8/30/2017,353.179993,3412900
2017-08-31,8/31/2017,355.899994,4072800
2017-09-01,9/1/2017,355.399994,3049500
2017-09-05,9/5/2017,349.589996,3835100
2017-09-06,9/6/2017,344.529999,4091400
2017-09-07,9/7/2017,350.609985,4239200
2017-09-08,9/8/2017,343.399994,3263500
2017-09-11,9/11/2017,363.690002,7667100
2017-09-12,9/12/2017,362.75,5972900
2017-09-13,9/13/2017,366.230011,4185200
2017-09-14,9/14/2017,377.640015,7202500
2017-09-15,9/15/2017,379.809998,5420500
2017-09-18,9/18/2017,385,7188000
2017-09-19,9/19/2017,375.100006,6451900
2017-09-20,9/20/2017,373.910004,4919100
2017-09-21,9/21/2017,366.480011,4618200
2017-09-22,9/22/2017,351.089996,8159400
2017-09-25,9/25/2017,344.98999,7605900
2017-09-26,9/26/2017,345.25,7156300
2017-09-27,9/27/2017,340.970001,6060300
2017-09-28,9/28/2017,339.600006,5319600
2017-09-29,9/29/2017,341.100006,5107100
2017-10-02,10/2/2017,341.529999,5286800
2017-10-03,10/3/2017,348.140015,10153600
2017-10-04,10/4/2017,355.01001,8163500
2017-10-05,10/5/2017,355.329987,4171700
2017-10-06,10/6/2017,356.880005,4297500
2017-10-09,10/9/2017,342.940002,7493700
2017-10-10,10/10/2017,355.589996,6978500
2017-10-11,10/11/2017,354.600006,4500800
2017-10-12,10/12/2017,355.679993,4087000
2017-10-13,10/13/2017,355.570007,3540500
2017-10-16,10/16/2017,350.600006,5375500
2017-10-17,10/17/2017,355.75,3293300
2017-10-18,10/18/2017,359.649994,4939100
2017-10-19,10/19/2017,351.809998,5061800
2017-10-20,10/20/2017,345.100006,4930400
2017-10-23,10/23/2017,337.019989,5747300
2017-10-24,10/24/2017,337.339996,4491700
2017-10-25,10/25/2017,325.839996,8594100
2017-10-26,10/26/2017,326.170013,5023500
2017-10-27,10/27/2017,320.869995,6979700
2017-10-30,10/30/2017,320.079987,4254400
2017-10-31,10/31/2017,331.529999,5672300
2017-11-01,11/1/2017,321.079987,8457300
2017-11-02,11/2/2017,299.26001,19791400
2017-11-03,11/3/2017,306.089996,8894000
2017-11-06,11/6/2017,302.779999,6486000
2017-11-07,11/7/2017,306.049988,5294300
2017-11-08,11/8/2017,304.390015,4725300
2017-11-09,11/9/2017,302.98999,5447100
2017-11-10,11/10/2017,302.98999,4625400
2017-11-13,11/13/2017,315.399994,7584900
2017-11-14,11/14/2017,308.700012,5676100
2017-11-15,11/15/2017,311.299988,5978700
2017-11-16,11/16/2017,312.5,5822100
2017-11-17,11/17/2017,315.049988,13735100
2017-11-20,11/20/2017,308.73999,8247700
2017-11-21,11/21/2017,317.809998,7261300
2017-11-22,11/22/2017,312.600006,4917600
2017-11-24,11/24/2017,315.549988,3244100
2017-11-27,11/27/2017,316.809998,4555900
2017-11-28,11/28/2017,317.549988,4949500
2017-11-29,11/29/2017,307.540009,8767400
2017-11-30,11/30/2017,308.850006,4351600
2017-12-01,12/1/2017,306.529999,4292900
2017-12-04,12/4/2017,305.200012,5835100
2017-12-05,12/5/2017,303.700012,4646500
2017-12-06,12/6/2017,313.26001,7195300
2017-12-07,12/7/2017,311.23999,4780600
2017-12-08,12/8/2017,315.130005,3468500
2017-12-11,12/11/2017,328.910004,7938000
2017-12-12,12/12/2017,341.029999,8733200
2017-12-13,12/13/2017,339.029999,6221500
2017-12-14,12/14/2017,337.890015,5799900
2017-12-15,12/15/2017,343.450012,6933200
2017-12-18,12/18/2017,338.869995,5476200
2017-12-19,12/19/2017,331.100006,6825000
2017-12-20,12/20/2017,328.980011,5953800
2017-12-21,12/21/2017,331.660004,4385200
2017-12-22,12/22/2017,325.200012,4215800
2017-12-26,12/26/2017,317.290009,4378400
2017-12-27,12/27/2017,311.640015,4712100
2017-12-28,12/28/2017,315.359985,4316300
2017-12-29,12/29/2017,311.350006,3777200
2018-01-02,1/2/2018,320.529999,4352200
2018-01-03,1/3/2018,317.25,4521500
2018-01-04,1/4/2018,314.619995,9946300
2018-01-05,1/5/2018,316.579987,4591200
2018-01-08,1/8/2018,336.410004,9859400
2018-01-09,1/9/2018,333.690002,7146600
2018-01-10,1/10/2018,334.799988,4309900
2018-01-11,1/11/2018,337.950012,6645500
2018-01-12,1/12/2018,336.220001,4825100
2018-01-16,1/16/2018,340.059998,6474300
2018-01-17,1/17/2018,347.160004,7083700
2018-01-18,1/18/2018,344.570007,5685800
2018-01-19,1/19/2018,350.019989,4888300
2018-01-22,1/22/2018,351.559998,6210400
2018-01-23,1/23/2018,352.790009,5465400
2018-01-24,1/24/2018,345.890015,5287500
2018-01-25,1/25/2018,337.640015,6740300
2018-01-26,1/26/2018,342.850006,4539400
2018-01-29,1/29/2018,349.529999,4747100
2018-01-30,1/30/2018,345.820007,4717700
2018-01-31,1/31/2018,354.309998,6214100
2018-02-01,2/1/2018,349.25,4197700
2018-02-02,2/2/2018,343.75,3704800
2018-02-05,2/5/2018,333.130005,4464100
2018-02-06,2/6/2018,333.970001,5088400
2018-02-07,2/7/2018,345,6969200
2018-02-08,2/8/2018,315.230011,10314600
2018-02-09,2/9/2018,310.420013,12933700
2018-02-12,2/12/2018,315.730011,6227800
2018-02-13,2/13/2018,323.660004,4560200
2018-02-14,2/14/2018,322.309998,3950700
2018-02-15,2/15/2018,334.070007,5912900
2018-02-16,2/16/2018,335.48999,5642600
2018-02-20,2/20/2018,334.769989,4009400
2018-02-21,2/21/2018,333.299988,3219600
2018-02-22,2/22/2018,346.170013,6969800
2018-02-23,2/23/2018,352.049988,5817400
2018-02-26,2/26/2018,357.420013,4340000
2018-02-27,2/27/2018,350.98999,4797400
2018-02-28,2/28/2018,343.059998,6069700
2018-03-01,3/1/2018,330.929993,6885600
2018-03-02,3/2/2018,335.119995,5092800
2018-03-05,3/5/2018,333.350006,3823800
2018-03-06,3/6/2018,328.200012,4285700
2018-03-07,3/7/2018,332.299988,5007300
2018-03-08,3/8/2018,329.100006,3566200
2018-03-09,3/9/2018,327.170013,5506800
2018-03-12,3/12/2018,345.51001,8264000
2018-03-13,3/13/2018,341.839996,5965800
2018-03-14,3/14/2018,326.630005,7967400
2018-03-15,3/15/2018,325.600006,6564800
2018-03-16,3/16/2018,321.350006,6117300
2018-03-19,3/19/2018,313.559998,7484300
2018-03-20,3/20/2018,310.549988,4764300
2018-03-21,3/21/2018,316.529999,5958400
2018-03-22,3/22/2018,309.100006,4939800
2018-03-23,3/23/2018,301.540009,6654900
2018-03-26,3/26/2018,304.179993,8375200
2018-03-27,3/27/2018,279.179993,13872000
2018-03-28,3/28/2018,257.779999,21001400
2018-03-29,3/29/2018,266.130005,15170700
2018-04-02,4/2/2018,252.479996,16114000
2018-04-03,4/3/2018,267.529999,18844400
2018-04-04,4/4/2018,286.940002,19896700
2018-04-05,4/5/2018,305.720001,19121100
2018-04-06,4/6/2018,299.299988,13520300
2018-04-09,4/9/2018,289.660004,10249800
2018-04-10,4/10/2018,304.700012,10989800
2018-04-11,4/11/2018,300.929993,7482900
2018-04-12,4/12/2018,294.079987,7608800
2018-04-13,4/13/2018,300.339996,7327200
2018-04-16,4/16/2018,291.209991,6338500
2018-04-17,4/17/2018,287.690002,7000000
2018-04-18,4/18/2018,293.350006,6557700
2018-04-19,4/19/2018,300.079987,6090600
2018-04-20,4/20/2018,290.23999,5627900
2018-04-23,4/23/2018,283.369995,4893400
2018-04-24,4/24/2018,283.459991,5685300
2018-04-25,4/25/2018,280.690002,4013600
2018-04-26,4/26/2018,285.480011,4356000
2018-04-27,4/27/2018,294.079987,4364600
2018-04-30,4/30/2018,293.899994,4228200
2018-05-01,5/1/2018,299.920013,4625600
2018-05-02,5/2/2018,301.149994,8970400
2018-05-03,5/3/2018,284.450012,17352100
2018-05-04,5/4/2018,294.089996,8569400
2018-05-07,5/7/2018,302.769989,8678200
